millis,rpm1,filterRpm_1,w1,rpm2,filterRpm_2,w2,rpm3,filterRpm_3,w3
2120847,80.22,68.71,14055,80.22,84.59,14055,80.22,71.38,14055
2120857,64.17,69.12,14035,80.21,84.08,14035,64.17,71.48,14035
2120867,64.17,68.54,14015,80.21,83.62,14015,64.17,70.62,14015
2120877,64.17,68.02,13995,80.21,83.22,13995,80.21,70.8,13995
2120887,64.17,67.57,13975,80.21,82.86,13975,64.17,70.97,13975
2120897,64.17,67.16,13955,80.21,82.55,13955,64.17,70.16,13955
2120907,80.21,67.76,13935,80.21,82.27,13935,80.21,70.4,13935
2120917,64.17,68.28,13915,80.21,82.03,13915,64.17,70.61,13915
2120927,64.16,67.8,13895,80.21,81.81,13895,64.16,69.85,13895
2120937,64.18,67.37,13875,80.22,81.63,13875,80.22,70.13,13875
2120947,64.17,66.99,13855,80.21,81.46,13855,64.17,70.37,13855
2120957,64.16,66.66,13835,80.21,81.31,13835,64.16,69.64,13835
2120967,64.18,66.36,13815,80.22,81.18,13815,64.18,68.99,13815
2120977,64.16,66.1,13795,80.21,81.07,13795,80.21,69.37,13795
2120987,64.18,65.88,13775,80.22,80.97,13775,64.18,69.7,13775
2120997,64.17,65.67,13755,80.21,80.88,13755,64.17,69.05,13755
2121007,64.16,65.5,13735,80.21,80.8,13735,64.16,68.47,13735
2121017,64.18,65.34,13715,80.22,80.73,13715,80.22,68.91,13715
2121027,64.17,65.2,13695,80.21,80.67,13695,64.17,69.3,13695
2121037,64.17,65.08,13675,80.21,80.62,13675,64.17,68.69,13675
2121047,64.16,64.97,13655,80.21,80.57,13655,64.16,68.16,13655
2121057,64.18,64.88,13635,80.22,80.53,13635,64.18,67.69,13635
2121067,48.13,63.85,13615,80.21,80.49,13615,64.17,67.27,13615
2121077,64.16,62.94,13595,80.21,80.46,13595,80.21,67.85,13595
2121087,64.18,63.08,13575,64.18,79.48,13575,64.18,68.37,13575
2121097,64.17,63.21,13555,80.21,78.62,13555,64.17,67.87,13555
2121107,64.17,63.32,13535,80.21,78.81,13535,64.17,67.43,13535
2121117,64.17,63.42,13515,80.21,78.97,13515,64.17,67.05,13515
2121127,64.16,63.51,13495,80.21,79.12,13495,64.16,66.71,13495
2121137,48.13,62.64,13475,64.18,78.3,13475,64.18,66.41,13475
2121147,64.17,61.87,13455,80.21,77.58,13455,64.17,66.14,13455
2121157,64.17,62.15,13435,80.21,77.89,13435,64.17,65.91,13435
2121167,64.17,62.39,13415,80.21,78.16,13415,64.17,65.7,13415
2121177,48.13,61.65,13395,64.17,77.46,13395,80.21,66.47,13395
2121187,64.16,61.0,13375,80.21,76.84,13375,64.16,67.15,13375
2121197,64.18,61.37,13355,80.22,77.23,13355,64.18,66.8,13355
2121207,64.17,61.7,13335,80.21,77.59,13335,64.17,66.49,13335
2121217,48.13,61.05,13315,64.17,76.95,13315,64.17,66.21,13315
2121227,64.17,60.47,13295,80.21,76.39,13295,64.17,65.97,13295
2121237,64.17,60.91,13275,80.21,76.84,13275,48.13,64.81,13275
2121247,64.16,61.29,13255,64.16,76.29,13255,64.16,63.79,13255
2121257,48.13,60.68,13235,80.22,75.81,13235,64.18,63.83,13235
2121267,64.17,60.15,13215,80.21,76.33,13215,64.17,63.87,13215
2121277,64.17,60.62,13195,64.17,75.84,13195,64.17,63.91,13195
2121287,48.12,60.09,13175,80.21,75.41,13175,64.16,63.94,13175
2121297,64.18,59.63,13155,80.22,75.98,13155,64.18,63.97,13155
2121307,64.17,60.17,13135,64.17,75.53,13135,64.17,63.99,13135
2121317,48.13,59.69,13115,80.21,75.13,13115,64.17,64.01,13115
2121327,64.17,59.27,13095,64.17,74.79,13095,64.17,64.03,13095
2121337,48.13,58.9,13075,80.21,74.48,13075,64.17,64.05,13075
2121347,64.17,58.58,13055,80.21,75.16,13055,48.13,63.11,13055
2121357,48.13,58.29,13035,64.17,74.81,13035,64.17,62.29,13035
2121367,64.17,58.04,13015,80.21,74.5,13015,64.17,62.51,13015
2121377,64.17,58.76,12995,64.17,74.23,12995,64.17,62.71,12995
2121387,48.13,58.45,12975,80.21,73.98,12975,64.17,62.88,12975
2121397,64.17,58.18,12955,64.17,73.77,12955,48.13,62.09,12955
2121407,48.13,57.94,12935,80.21,73.59,12935,64.17,61.38,12935
2121417,64.16,57.73,12915,64.16,73.42,12915,64.16,61.71,12915
2121427,48.13,57.54,12895,80.22,73.28,12895,64.18,62.0,12895
2121437,64.17,57.38,12875,64.17,73.15,12875,48.13,61.31,12875
2121447,48.13,57.23,12855,80.21,73.04,12855,64.17,60.7,12855
2121457,64.17,57.1,12835,64.17,72.94,12835,64.17,61.11,12835
2121467,48.13,56.99,12815,80.21,72.85,12815,64.17,61.47,12815
2121477,64.17,56.89,12795,64.17,72.77,12795,48.13,60.84,12795
2121487,48.13,56.8,12775,64.17,71.75,12775,64.17,60.29,12775
2121497,64.17,56.73,12755,80.21,71.81,12755,64.17,60.75,12755
2121507,48.13,56.66,12735,64.17,71.85,12735,48.13,60.2,12735
2121517,48.13,55.65,12715,80.21,71.89,12715,64.17,59.72,12715
