millis,rpm,rpm2
32240,70.35,72.64
32250,87.92,71.14
32260,70.35,71.75
32270,70.34,72.22
32280,70.33,71.31
32290,70.35,71.78
32300,70.33,71.60
32310,70.34,71.89
32320,70.35,73.12
32330,70.33,72.19
32340,70.35,72.40
32350,70.34,72.61
32360,87.92,71.86
32370,70.34,72.31
32380,70.33,72.01
32390,70.35,72.22
32400,70.33,73.45
32410,70.34,72.67
32420,70.35,72.79
32430,70.33,73.00
32440,87.93,72.25
32450,70.34,72.73
32460,70.34,72.55
32470,70.34,72.82
32480,70.34,74.14
32490,70.33,73.03
32500,70.35,73.18
32510,87.92,73.64
32520,70.35,72.70
32530,70.33,73.30
32540,70.35,72.82
32550,70.34,72.94
32560,87.92,73.86
32570,70.33,73.03
32580,70.35,73.55
32590,70.34,73.92
32600,70.34,73.06
32610,70.33,73.58
32620,87.92,73.95
32630,70.35,74.04
32640,70.33,74.32
32650,70.35,73.39
32660,70.33,73.98
32670,87.92,73.55
32680,70.35,73.67
32690,70.33,75.12
32700,70.35,74.32
32710,70.33,74.39
32720,87.93,74.67
32730,70.34,73.89
32740,70.33,74.36
32750,70.34,73.92
32760,87.93,74.39
32770,70.33,74.96
32780,70.34,74.23
32790,70.34,74.83
32800,87.92,74.48
32810,70.34,74.73
32820,70.35,76.09
32830,70.33,75.09
32840,87.92,74.99
32850,70.34,75.41
32860,70.35,74.45
32870,87.71,133.83
32880,70.51,74.99
32890,70.34,75.09
32900,70.34,75.57
32910,87.92,74.67
32920,70.34,75.28
32930,70.35,75.12
32940,70.33,75.28
32950,87.92,76.19
32960,70.35,75.47
32970,70.34,76.03
32980,87.92,75.73
32990,70.35,75.90
33000,70.32,77.16
33010,87.95,75.86
33020,70.34,76.39
33030,70.34,76.92
33040,87.92,76.09
33050,70.34,77.47
33060,70.33,76.52
33070,87.92,76.56
33080,70.35,76.89
33090,87.92,76.13
33100,70.34,77.40
33110,70.34,76.42
33120,87.92,76.39
33130,70.33,76.72
33140,70.35,75.80
33150,87.92,77.47
33160,70.34,76.46
33170,70.34,76.56
33180,87.92,76.99
33190,70.34,76.03
33200,70.33,76.69
33210,87.93,77.16
33220,70.33,77.26
33230,87.90,77.64
33240,70.36,76.66
33250,70.35,77.26
33260,87.92,77.36
33270,70.35,77.36
33280,70.34,77.60
33290,87.92,76.76
33300,70.33,77.33
33310,87.93,77.81
33320,70.34,77.74
33330,87.92,78.23
33340,70.34,77.23
33350,70.35,77.67
33360,87.92,77.71
33370,70.33,77.71
33380,87.93,78.23
33390,70.33,77.33
33400,70.35,77.91
33410,87.92,78.16
33420,70.34,78.16
33430,87.92,78.54
33440,70.33,77.50
33450,87.93,79.35
33460,70.34,78.47
33470,87.92,78.50
33480,70.34,78.82
33490,87.92,78.26
33500,70.35,79.61
33510,70.34,78.86
33520,87.92,78.86
33530,70.34,79.25
33540,87.92,78.57
33550,70.35,79.86
33560,87.92,78.50
33570,70.34,79.03
33580,87.92,78.43
33590,70.34,78.57
33600,87.93,79.46
33610,70.34,78.64
33620,87.92,79.14
33630,70.33,78.64
33640,87.93,79.32
33650,70.34,79.75
33660,87.92,78.89
33670,70.34,79.43
33680,87.92,79.61
33690,70.35,79.61
33700,87.90,80.00
33710,70.36,78.96
33720,87.92,80.81
33730,87.92,79.32
33740,70.34,79.93
33750,87.93,79.57
33760,70.33,79.75
33770,87.93,80.19
33780,70.33,79.32
33790,87.93,79.93
33800,70.34,79.64
33810,87.92,80.15
33820,87.92,80.81
33830,70.35,79.86
33840,87.92,81.56
33850,70.33,80.63
33860,87.92,80.52
33870,70.34,80.85
33880,87.92,80.11
33890,87.92,80.92
33900,70.35,79.93
33910,87.92,80.59
33920,70.34,80.37
33930,87.92,80.92
33940,87.92,81.56
33950,70.35,80.55
33960,87.92,82.29
33970,70.34,81.45
33980,87.93,81.34
33990,87.92,80.92
34000,70.32,81.15
34010,87.95,81.87
34020,87.92,81.00
34030,70.34,81.49
34040,87.92,81.75
34050,70.35,81.64
34060,87.92,82.17
34070,87.92,81.45
34080,70.35,82.83
34090,87.92,81.30
34100,87.93,81.79
34110,70.34,81.45
34120,87.92,81.90
34130,87.92,82.48
34140,70.35,81.49
34150,87.92,83.26
34160,87.92,81.64
34170,70.34,82.25
34180,87.92,82.06
34190,87.92,82.52
34200,70.33,83.03
34210,87.93,81.94
34220,87.92,83.78
34230,87.93,82.10
34240,70.34,82.91
34250,87.92,82.21
34260,87.92,82.79
34270,70.35,83.03
34280,87.92,81.98
34290,87.92,83.70
34300,70.34,82.75
34310,87.92,82.68
34320,87.92,82.40
34330,87.92,82.91
34340,70.34,83.46
34350,87.92,82.48
34360,87.92,84.26
34370,87.92,82.64
34380,70.35,83.42
34390,87.92,82.75
34400,87.93,83.26
34410,70.34,83.62
34420,87.92,82.64
34430,87.93,84.50
34440,87.92,82.95
34450,70.34,83.62
34460,87.92,83.07
34470,87.92,83.78
34480,87.92,84.10
34490,70.34,82.95
34500,87.92,84.83
34510,87.93,83.14
34520,87.92,83.66
34530,87.92,84.06
34540,70.34,84.22
34550,87.92,84.46
34560,87.92,83.62
34570,87.93,84.42
34580,70.33,83.50
34590,87.93,83.98
34600,87.92,84.30
34610,87.92,84.42
34620,87.92,83.82
34630,70.34,83.98
34640,87.92,84.91
34650,87.93,83.98
34660,87.92,85.95
34670,87.92,84.06
34680,70.33,84.54
34690,87.93,84.26
34700,87.92,84.91
34710,87.92,85.32
34720,87.92,84.46
34730,87.92,85.24
34740,70.34,84.34
34750,87.92,84.95
34760,87.92,85.07
34770,87.92,84.99
34780,87.92,84.62
34790,87.92,85.28
34800,70.34,85.53
34810,87.92,84.50
34820,87.92,86.37
34830,87.93,84.79
34840,87.92,85.36
34850,87.93,85.49
34860,87.76,85.41
34870,70.47,86.16
34880,87.92,85.41
34890,87.92,86.16
34900,87.93,85.16
34910,87.92,86.93
34920,87.92,85.24
34930,87.93,85.78
34940,87.92,86.16
34950,70.33,86.29
34960,87.93,86.67
34970,87.92,85.78
34980,87.92,86.63
34990,87.92,85.53
35000,87.92,87.40
35010,87.92,85.70
35020,87.92,86.46
35030,87.92,86.67
35040,87.92,86.54
35050,87.92,85.86
35060,70.34,86.03
35070,87.92,86.88
35080,87.93,85.99
35090,87.92,87.97
35100,87.92,86.16
35110,87.92,86.80
35120,87.92,86.97
35130,87.92,86.88
35140,87.92,86.37
35150,87.93,86.88
35160,87.92,87.57
35170,87.92,86.71
35180,87.93,87.57
35190,87.92,86.67
35200,87.92,88.72
35210,87.93,86.80
35220,87.92,87.40
35230,87.92,87.62
35240,87.92,87.49
35250,87.85,86.75
35260,70.41,86.97
35270,87.92,87.88
35280,87.93,86.75
35290,87.92,88.59
35300,87.92,87.01
35310,87.92,87.53
35320,87.93,88.10
35330,87.92,88.10
35340,87.92,87.71
35350,87.92,88.46
35360,87.93,88.99
35370,87.92,88.19
35380,105.37,89.26
35390,88.04,88.50
35400,87.92,89.26
35410,87.92,88.28
35420,87.92,90.32
35430,87.93,88.54
35440,87.92,88.99
35450,87.92,89.31
35460,87.92,89.17
35470,87.92,88.63
35480,87.92,89.22
35490,87.93,89.72
35500,87.92,88.68
35510,87.92,89.49
35520,87.93,88.28
